ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1009	Eukaryota	Haptophyta	Isochrysidales__c	Isochrysidales	NA	NA	NA
ASV_10090	Eukaryota	Rotifera	Eurotatoria	NA	NA	NA	NA
ASV_10091	Eukaryota	Rotifera	Eurotatoria	NA	NA	NA	NA
ASV_10094	Eukaryota	Rhodophyta	Florideophyceae	Gelidiales	NA	NA	NA
ASV_10095	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	NA	NA	NA
ASV_10098	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_101	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_1010	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10100	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10103	Eukaryota	Platyhelminthes	Trematoda	Plagiorchiida	NA	NA	NA
ASV_10105	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10107	Eukaryota	Mollusca	Gastropoda	NA	NA	NA	NA
ASV_10108	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	NA	NA	NA
ASV_10112	Eukaryota	Phaeophyceae__p	Phaeophyceae	Dictyotales	NA	NA	NA
ASV_10113	Eukaryota	Haptophyta	Prymnesiales__c	Prymnesiales	NA	NA	NA
ASV_10114	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10115	Eukaryota	Cnidaria	Hydrozoa	NA	NA	NA	NA
ASV_10116	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10117	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10118	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10119	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	NA	NA	NA
ASV_1012	Eukaryota	Chrysophyceae__p	Chrysophyceae	Chromulinales	NA	NA	NA
ASV_10120	Eukaryota	Discosea	Longamoebia__c	Longamoebia	NA	NA	NA
ASV_10121	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10122	Eukaryota	Mollusca	Gastropoda	Stylommatophora	NA	NA	NA
ASV_10124	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10125	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	NA	NA	NA
ASV_10126	Eukaryota	Discosea	Flabellinia	NA	NA	NA	NA
ASV_10127	Eukaryota	Oomycota	Pythiales__c	Pythiales	NA	NA	NA
ASV_10129	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_1013	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	NA
ASV_10130	Eukaryota	Discosea	Flabellinia	Dactylopodida	NA	NA	NA
ASV_10132	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10133	Eukaryota	Rhodophyta	Florideophyceae	NA	NA	NA	NA
ASV_10134	Eukaryota	Chlorophyta	Trebouxiophyceae	NA	NA	NA	NA
ASV_10136	Eukaryota	Discosea	Longamoebia__c	NA	NA	NA	NA
ASV_10137	Eukaryota	Dinophyceae__p	Dinophyceae	Gonyaulacales	Amphidomataceae	NA	NA
ASV_10139	Eukaryota	Bacillariophyta	Mediophyceae	NA	NA	NA	NA
ASV_10140	Eukaryota	Arthropoda	Insecta	Lepidoptera	NA	NA	NA
ASV_10141	Eukaryota	Discosea	Himatismenida__c	Himatismenida	NA	NA	NA
ASV_10142	Eukaryota	Phaeophyceae__p	Phaeophyceae	NA	NA	NA	NA
ASV_10143	Eukaryota	Dictyochophyceae__p	Dictyochophyceae	Pedinellales	NA	NA	NA
ASV_10146	Eukaryota	Chlorophyta	Mamiellophyceae	Dolichomastigales	NA	NA	NA
ASV_10147	Eukaryota	Rhodophyta	Florideophyceae	NA	NA	NA	NA
ASV_10149	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	NA	NA	NA
ASV_1015	Eukaryota	Cryptophyceae__p	Cryptophyceae	Kathablepharidacea	Katablepharidaceae	Leucocryptos	Leucocryptos marina
ASV_10151	Eukaryota	Chrysophyceae__p	Chrysophyceae	Chromulinales	NA	NA	NA
ASV_10152	Eukaryota	Oomycota	Saprolegniales__c	NA	NA	NA	NA
ASV_10153	Eukaryota	Cnidaria	Anthozoa	Scleractinia	NA	NA	NA
