"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_1_a","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","Unknown Brevoortia (Genus)","Menhaden","Brevoortia sp. (Menhaden)"
"ASV_3_a","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Leiostomus","Leiostomus xanthurus","Spot","Leiostomus xanthurus (Spot)"
"ASV_5_a","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Centropristis","Centropristis striata","Black seabass","Centropristis striata (Black seabass)"
"ASV_6_a","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","Mummichog","Fundulus heteroclitus (Mummichog)"
"ASV_7_a","Eukaryota","Chordata","Actinopteri","Scombriformes","Unknown Scombriformes (Order)","Unknown Scombriformes (Order)","Unknown Scombriformes (Order)","Scombriformes","Scombriformes"
"ASV_8_a","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Unknown Pseudopleuronectes (Genus)","Righteye flounders","Pseudopleuronectes sp. (Righteye flounders)"
"ASV_9_a","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","Unknown Paralichthys (Genus)","Large-tooth flounders","Paralichthys (Large-tooth flounders)"
"ASV_10_a","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","Cyprinodon variegatus","Sheepshead minnow","Cyprinodon variegatus (Sheepshead minnow)"
"ASV_13_a","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobiosoma","Gobiosoma bosc","Naked goby","Gobiosoma bosc (Naked goby)"
"ASV_16_a","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Cynoscion","Cynoscion regalis","Weakfish","Cynoscion regalis (Weakfish)"
"ASV_21_a","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus heudelotii","Dotterel filefish","Aluterus heudelotii (Dotterel filefish)"
"ASV_24_a","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Selene","Selene setapinnis","Atlantic moonfish","Selene setapinnis (Atlantic moonfish)"
"ASV_25_a","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Unknown Fundulus (Genus)","Fundulus sp.","Fundulus sp."
"ASV_26_a","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides maculatus","Northern puffer","Sphoeroides maculatus (Northern puffer)"
"ASV_27_a","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobiosoma","Gobiosoma ginsburgi","Seaboard goby","Gobiosoma ginsburgi (Seaboard goby)"
"ASV_30_a","Eukaryota","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","American eel","Anguilla rostrata (American eel)"
"ASV_31_a","Eukaryota","Chordata","Actinopteri","Priacanthiformes","Priacanthidae","Pristigenys","Unknown Pristigenys (Genus)","Pristigenys","Pristigenys"
"ASV_35_a","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Anchoa","Anchoa hepsetus","Broad-striped anchovy","Anchoa hepsetus (Broad-striped anchovy)"
"ASV_37_a","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Membras","Membras martinica","Rough silverside","Membras martinica (Rough silverside)"
"ASV_38_a","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Menticirrhus","Menticirrhus saxatilis","Northern kingfish","Menticirrhus saxatilis (Northern kingfish)"
"ASV_47_a","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Unknown Clupeidae (Family)","Unknown Clupeidae (Family)","Clupeidae","Clupeidae"
"ASV_52_a","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus","Hogchoker","Trinectes maculatus (Hogchoker)"
"ASV_69_a","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Chilomycterus","Chilomycterus schoepfii","Striped burrfish","Chilomycterus schoepfii (Striped burrfish)"
