"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_62","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","Stickleback","Apeltes quadracus (Stickleback)"
"ASV_72","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Caranx","Caranx hippos","Crevalle jack","Caranx hippos (Crevalle jack)"
"ASV_74","Eukaryota","Chordata","Actinopteri","Aulopiformes","Synodontidae","Synodus","Synodus foetens","Inshore lizardfish","Synodus foetens (Inshore lizardfish)"
"ASV_81","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Etropus","Etropus microstomus","Smallmouth flounder","Etropus microstomus (Smallmouth flounder)"
"ASV_82","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Unknown Pseudopleuronectes (Genus)","Righteye flounders","Pseudopleuronectes sp. (Righteye flounders)"
"ASV_83","Eukaryota","Chordata","Actinopteri","Blenniiformes","Gobiesocidae","Gobiesox","Gobiesox strumosus","Skilletfish","Gobiesox strumosus (Skilletfish)"
"ASV_98","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","Rock gunnel","Pholis gunnellus (Rock gunnel)"
"ASV_107","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil curema","White mullet","Mugil curema (White mullet)"
"ASV_110","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","Cyprinodon variegatus","Sheepshead minnow","Cyprinodon variegatus (Sheepshead minnow)"
"ASV_119","Eukaryota","Chordata","Actinopteri","Perciformes","Triglidae","Prionotus","Prionotus carolinus","Northern searobin","Prionotus carolinus (Northern searobin)"
"ASV_126","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomberomorus","Scomberomorus maculatus","Atlantic Spanish mackerel","Scomberomorus maculatus (Atlantic Spanish mackerel)"
"ASV_141","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Unknown Alosa (Genus)","Shads","Alosa sp. (Shads)"
"ASV_147","Eukaryota","Chordata","Actinopteri","Priacanthiformes","Priacanthidae","Pristigenys","Pristigenys refulgens","Blackfringe Bigeye","Pristigenys refulgens (Blackfringe Bigeye)"
"ASV_164","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Unknown Sardinops (Genus)","Sardinops","Sardine (Sardinops)"
"ASV_169","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis","Smooth dogfish","Mustelus canis (Smooth dogfish)"
"ASV_180","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","Atlantic salmon","Salmo salar (Atlantic salmon)"
"ASV_183","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Unknown Pungitius (Genus)","Sticklebacks","Pungitius (Sticklebacks)"
"ASV_204","Eukaryota","Chordata","Actinopteri","Batrachoidiformes","Batrachoididae","Opsanus","Opsanus tau","Oyster toadfish","Opsanus tau (Oyster toadfish)"
"ASV_208","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus obesus","Bigeye tuna","Thunnus obesus (Bigeye tuna)"
"ASV_218","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Fistulariidae","Fistularia","Fistularia tabacaria","Blue-spotted cornetfish","Fistularia tabacaria (Blue-spotted cornetfish)"
"ASV_228","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Ophidion","Ophidion marginatum","Striped cusk-eel","Ophidion marginatum (Striped cusk-eel)"
"ASV_235","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","Windowpane flounder","Scophthalmus aquosus (Windowpane flounder)"
"ASV_241","Eukaryota","Chordata","Actinopteri","Blenniiformes","Blenniidae","Hypsoblennius","Hypsoblennius hentz","Feather blenny","Hypsoblennius hentz (Feather blenny)"
"ASV_365","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Mycteroperca","Mycteroperca microlepis","Gag","Mycteroperca microlepis (Gag)"
"ASV_371","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Unknown Paralichthyidae (Family)","Unknown Paralichthyidae (Family)","Large-tooth flounders","Paralichthyidae (Large-tooth flounders)"
"ASV_389","Eukaryota","Chordata","Actinopteri","Pomacanthidae__o","Pomacanthidae","Holacanthus","Unknown Holacanthus (Genus)","Marine angelfishes","Holacanthus sp. (Marine angelfishes)"
"ASV_400","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Rhinoptera","Rhinoptera bonasus","Cownose ray","Rhinoptera bonasus (Cownose ray)"
"ASV_401","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","Winter flounder","Pseudopleuronectes americanus (Winter flounder)"
"ASV_438","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes tobianus","Lesser sand eel","Ammodytes tobianus (Lesser sand eel)"
"ASV_443","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Lucania","Lucania parva","Rainwater killifish","Lucania parva (Rainwater killifish)"
"ASV_595","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus burti","Gulf butterfish","Peprilus burti (Gulf butterfish)"
