"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_1","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis","Smooth dogfish","Mustelus canis (Smooth dogfish)"
"ASV_4","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Dasyatidae","Bathytoshia","Unknown Bathytoshia (Genus)","Bathytoshia sp.","Bathytoshia sp."
"ASV_9","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Rhinoptera","Rhinoptera bonasus","Cownose ray","Rhinoptera bonasus (Cownose ray)"
"ASV_15","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis freminvillei","Bullnose ray","Myliobatis freminvillei (Bullnose ray)"
"ASV_17","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata","Winter skate","Leucoraja ocellata (Winter skate)"
"ASV_19","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Unknown Squalus (Genus)","Spurdogs","Squalus sp. (Spurdogs)"
"ASV_21","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja eglanteria","Clearnose skate","Raja eglanteria (Clearnose skate)"
"ASV_37","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea","Little skate","Leucoraja erinacea (Little skate)"
"ASV_39","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Odontaspididae","Carcharias","Carcharias taurus","Sand tiger shark","Carcharias taurus (Sand tiger shark)"
"ASV_40","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Gymnuridae","Gymnura","Gymnura altavela","Spiny Butterfly Ray","Gymnura altavela (Spiny Butterfly Ray)"
"ASV_104","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Rhinoptera","Unknown Rhinoptera (Genus)","Cownose rays","Rhinoptera (Cownose rays)"
"ASV_117","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Dasyatidae","Pteroplatytrygon","Pteroplatytrygon violacea","Pelagic sting ray","Pteroplatytrygon violacea (Pelagic sting ray)"
"ASV_188","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Dasyatidae","Bathytoshia","Bathytoshia centroura","Roughtail stingray","Bathytoshia centroura (Roughtail stingray)"
"ASV_605","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias","Spiny dogfish","Squalus acanthias (Spiny dogfish)"
"ASV_683","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Smooth-hounds","Mustelus sp. (Smooth-hounds)"
