"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_1","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis","Smooth dogfish","Mustelus canis (Smooth dogfish)"
"ASV_2","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Rhinoptera","Rhinoptera bonasus","Cownose ray","Rhinoptera bonasus (Cownose ray)"
"ASV_5","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja eglanteria","Clearnose skate","Raja eglanteria (Clearnose skate)"
"ASV_7","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Dasyatidae","Bathytoshia","Unknown Bathytoshia (Genus)","Bathytoshia sp.","Bathytoshia sp."
"ASV_9","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis freminvillei","Bullnose ray","Myliobatis freminvillei (Bullnose ray)"
"ASV_24","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","Unknown Carcharhinus (Genus)","Requiem sharks","Carcharhinus (Requiem sharks)"
"ASV_155","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Unknown Mustelus (Genus)","Smooth-hounds","Mustelus sp. (Smooth-hounds)"
"ASV_212","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Dasyatidae","Bathytoshia","Bathytoshia centroura","Roughtail stingray","Bathytoshia centroura (Roughtail stingray)"
"ASV_396","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Unknown Triakidae (Family)","Unknown Triakidae (Family)","Houndsharks","Triakidae (Houndsharks)"
"ASV_911","Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Dasyatidae","Bathytoshia","Bathytoshia lata","Broad stingray","Bathytoshia lata (Broad stingray)"
