"","MP_T1Positive_S22_L001","MP_T1S1_S22_L001","MP_T1S2_S22_L001","MP_T1S3_S22_L001","MP_T1S4_S22_L001","MP_T1S5_S22_L001","MP_T1S6_S22_L001","MP_T1S7_S22_L001","MP_T1S8_S22_L001","MP_T1S9_S22_L001","MP_T1S10_S22_L001","MP_T1S11_S22_L001","MP_T1WC_S22_L001","MP_T1TC_S22_L001","MP_T3Positive_S22_L001","MP_T3S1_S22_L001","MP_T3S2_S22_L001","MP_T3S3_S22_L001","MP_T3S4_S22_L001","MP_T3S5_S22_L001","MP_T3S6_S22_L001","MP_T3S7_S22_L001","MP_T3S8_S22_L001","MP_T3S9_S22_L001","MP_T3S10_S22_L001","MP_T3S11_S22_L001","MP_T3WC_S22_L001","MP_T3TC_S22_L001","MP_T5S1_S22_L001","MP_T5S2_S22_L001","MP_T5S3_S22_L001","MP_T5S4_S22_L001","MP_T5S5_S22_L001","MP_T5S6_S23_L001","MP_T5S7_S23_L001","MP_T5S8_S23_L001","MP_T5S9_S23_L001","MP_T5S10_S23_L001","MP_T5S11_S23_L001","MP_T5WC_S23_L001","MP_T5TC_S23_L001","MP_T7S1_S23_L001","MP_T7S2_S23_L001","MP_T7S3_S23_L001","MP_T7S4_S23_L001","MP_T7S5_S23_L001","MP_T7S6_S23_L001","MP_T7S7_S23_L001","MP_T7S8_S23_L001","MP_T7S9_S23_L001","MP_T7S10_S23_L001","MP_T7S11_S23_L001","MP_T7WC_S23_L001","MP_T7TC_S23_L001","MP_T7S2_1_S23_L001","MP_T7S9_1_S23_L001","MP_T72_2_S23_L001","MP_T79_2_S23_L001","MP_June_S1_S23_L001","MP_June_S3_S23_L001","MP_June_S6_S23_L001","MP_June_S9_S23_L001","MP_June_C4_S23_L001","MP_June_C5_S23_L001","MP_June_Positive_S23_L001","MP_July_S1_S23_L001","MP_July_S3_S23_L001","MP_July_S6_S24_L001","MP_July_S9_S24_L001","MP_July_C4_S24_L001","MP_July_C5_S24_L001","MP_AS1_S24_L001","MP_AS3_S24_L001","MP_AS6_S24_L001","MP_AS9_S24_L001","MP_AC4_S24_L001","MP_AC5_S24_L001","MP_SS1_S24_L001","MP_SS3_S24_L001","MP_SS6_S24_L001","MP_SS9_S24_L001","MP_SC4_S24_L001","MP_SC5_S24_L001","MP_S_Positive_S24_L001","MP_JT1_S24_L001","MP_JT3_S24_L001","MP_ATPositive_S24_L001","MP_AT1_S24_L001","MP_AT2_S24_L001","MP_AT3_S24_L001","MP_AT4_S24_L001","MP_STPositive_S24_L001","MP_ST1_S24_L001","MP_ST2_S24_L001","MP_ST3_S24_L001","MP_ST4_S24_L001"
"ASV_12",19458,0,0,0,0,0,0,0,0,0,0,0,0,0,80526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_14",0,31565,0,0,0,0,16802,0,0,0,5908,0,0,0,0,0,8170,1019,0,21947,0,0,0,0,0,0,0,0,5764,0,0,0,0,0,0,0,0,0,0,0,0,0,16112,0,0,0,0,0,0,0,0,0,0,6682,19490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,10044,0,0,13185,13961,0,0,0,0,9329,0,0
"ASV_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7190,0,0,0,0,0,0,5334,9641,0,0,0,0,0,4966,0,20749,0,0,0,0,0,0,0,0,0,0,39491,0,9299,6688,0,10791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10983,0,0,0,3625,0,0,0,0,0,0,0,0,5437,0,0,0,0,0,0,0,0,0,0,0,0,15615,0,2119,0
"ASV_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4062,0,0,0,0,0,0,0,0,0,12038,8441,0,5858,7041,0,0,0,0,0,0,12811,0,0,692,9465,0,2956,0,6693,4293,0,0,0,0,0,0,0,0,14891,0,0,0,0,1825,1362,0,0,1311,20024,19983,0,0,0,0,0,0,0,6119,0,0,0,0,0,4858,0,0,0,0,16060,0,19391,2869,1412,0
"ASV_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9482,0,0,0,0,0,6112,0,4050,0,0,0,0,0,0,0,0,0,0,0,9349,0,43697,9691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8116,0,0,12401,0,0,0,0,0,0,0,0,0,0,0,11084,0,0,0
"ASV_19",0,0,25984,49177,21934,0,8720,14960,9681,0,0,45358,62377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4120,0,0,0,0,0,0,0,0,0,0,0
"ASV_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6256,0,0,0,0,4434,6889,0,0,0,0,0,0,0,0,3105,0,0,0,0,0,0,0,0,0,0,0,0,5974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2988,5091,14139,0,5747,0,32117,0,0,0,0,0,0,0,0,0,0,0,13702,0,0,0,0,0,0,0,0
"ASV_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30123,0,0,0,8166,0,0,0,0,0,0,0,0,15385,0,56462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4519,0,0,15546,0,0,0,0,67236,0,0,0,0
"ASV_24",0,0,0,0,0,44459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,1994,0,7414,0,0,0
"ASV_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7461,0,0,0,0,2459,0,51615,0,15690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6156,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,0,0,0,4344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33784,11490,0,0,17878,0,0,0,0,0,2242,0,0,0,0,6409,0,0,0,0,0,0,0,0
"ASV_28",0,25987,0,0,0,0,0,0,1302,0,0,3492,0,0,0,0,1824,0,0,0,0,0,0,0,0,0,0,0,0,3670,1651,8817,0,24299,0,0,0,0,0,0,0,0,8927,0,0,0,0,0,0,0,5149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3571,1565,0,0,0,0,0,0,16205,3970,0,0
"ASV_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16996,0,0,0,0,1744,0,0,0,0,0,17945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23025,0,0,0,0,0,0,3962,0,0,0,0,0
"ASV_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4746,0,0,0,37478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8219,0,0,0,0,0,0,0,0,0,1983,0,0,0,3249,0,0
"ASV_33",0,0,0,0,0,0,0,0,0,0,59388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
